rd,km,lat,lon
1,547,17.0601946923,99.0713681053
1,548,17.068197717,99.0670272256
1,549,17.0767626147,99.0666969715
1,550,17.0850459419,99.0704754174
1,551,17.0936171086,99.073332593
1,552,17.1026176681,99.0747028778
1,553,17.1091310259,99.0801999848
1,554,17.113044881900002,99.088402541
1,555,17.119435764400002,99.0946069625
1,556,17.1269847875,99.0996710233
1,557,17.1338357753,99.1056662393
1,558,17.1386717669,99.1133673747
1,559,17.1433760601,99.1211607503
1,560,17.148470271199997,99.1286336661
1,561,17.1570586622,99.1316072554
1,562,17.1656418158,99.1346371229
1,563,17.1741694525,99.1378212553
1,564,17.1827581167,99.1362282415
1,565,17.1906545808,99.1316974722
1,566,17.1985523107,99.1271677902
1,567,17.2067901796,99.1234489904
1,568,17.21588824,99.1232073181
1,569,17.2249885958,99.1229976519
1,570,17.234090427,99.1228467741
1,571,17.2426679227,99.1252504588
1,572,17.2508259375,99.1292920778
1,573,17.258987116300002,99.1333275123
1,574,17.2676091808,99.1362306705
1,575,17.276281243,99.1390022437
1,576,17.2850141266,99.1414991144
1,577,17.2940532929,99.1425796006
1,578,17.3021050818,99.1467281283
1,579,17.3108703198,99.1491068462
1,580,17.319727651300003,99.1512131411
1,581,17.3285839533,99.153324576
1,582,17.337240681,99.1524781303
1,583,17.345559801500002,99.1495568797
1,584,17.3545779857,99.1489823767
1,585,17.3633788594,99.146727221
1,586,17.3722311518,99.1486823829
1,587,17.3811387234,99.1480497145
1,588,17.390185421400002,99.1486354493
1,589,17.3992320102,99.1495322431
1,590,17.4082590169,99.1497499588
1,591,17.4155801379,99.1550110958
1,592,17.4239938231,99.1575900419
1,593,17.4330560627,99.1583142666
1,594,17.442118488800002,99.1590358598
1,595,17.4511811299,99.1597539866
1,596,17.4602440542,99.1604694249
1,597,17.4693045852,99.1612102321
1,598,17.4780282995,99.1637383108
1,599,17.4867083144,99.1664408565
1,600,17.4943310408,99.1712199214
1,601,17.5015143411,99.1767920137
1,602,17.5086960703,99.182366035
1,603,17.5173409634,99.1845811774
1,604,17.5256508535,99.188263685
1,605,17.5339575052,99.191957649
1,606,17.5422576576,99.195666538
1,607,17.5505570449,99.1993769104
1,608,17.5588564119,99.2030871057
1,609,17.5677652908,99.2024683277
1,610,17.5757601633,99.2046881804
1,611,17.5807896008,99.2122601216
1,612,17.5862686048,99.2194291826
1,613,17.5949047999,99.2222116945
1,614,17.603335979,99.2256097529
1,615,17.611747295,99.2290591077
1,616,17.619228003,99.2340876281
1,617,17.6272348864,99.2380584245
1,617,17.6272348864,99.2380584245
1,617,17.6272348864,99.2380584245
1,618,17.6362891769,99.2392225259
1,619,17.6447936358,99.2421495483
1,620,17.6507826546,99.2487720223
1,621,17.6588199342,99.24960908
1,622,17.6656714747,99.2445295702
1,623,17.674444365699998,99.2433593866
1,624,17.683028913599998,99.2402359161
1,625,17.6895936473,99.2344783881
1,626,17.6978948252,99.2330512549
1,627,17.7066574835,99.2304697922
1,628,17.7156420131,99.2290871451
1,629,17.7247175945,99.2293612855
1,630,17.733196999300002,99.23263327040002
1,631,17.7416976802,99.2317258527
1,632,17.7494240152,99.2335774245
1,633,17.7561804162,99.2392500467
1,634,17.7641038444,99.2432661615
1,635,17.771154815899997,99.2486266612
1,636,17.7787743967,99.2529949821
1,637,17.7845683959,99.260036301
1,638,17.7929269847,99.2637035058
1,639,17.801383881,99.26713879620002
1,640,17.8097485526,99.2685095431
1,641,17.8146810321,99.2758454706
1,642,17.819433236800002,99.2828977493
1,643,17.8280154638,99.2843594781
1,644,17.8334817983,99.2901655905
1,645,17.841643421500002,99.2935570307
1,646,17.8505752244,99.2924265422
1,647,17.8538281005,99.3003928464
1,648,17.8586151937,99.3077366659
1,649,17.8617363573,99.316126203
1,650,17.8622398015,99.3252409202
1,651,17.865439333,99.3335096638
1,652,17.8730438599,99.33706407
1,653,17.8820841594,99.3380697198
1,654,17.891078264100003,99.3396305484
1,655,17.900076016099998,99.3411558329
1,656,17.9091873185,99.3416961098
1,657,17.9176469216,99.3445001963
1,658,17.9266052263,99.346224733
1,659,17.935585790799998,99.3478615101
1,660,17.9439148398,99.351332928
1,661,17.952881432999998,99.350777935
1,662,17.960900566099998,99.3546217107
1,663,17.969692416199997,99.3527151389
1,663,17.969692416199997,99.3527151389
1,664,17.977729046300002,99.3558255236
1,665,17.9867420948,99.3567401389
1,666,17.9957058402,99.3556661769
1,667,18.0047478101,99.3557713533
1,668,18.0131649359,99.3584243378
1,669,18.0179775475,99.3661786174
1,670,18.0233219974,99.3734521224
1,671,18.032334953,99.3745532875
1,672,18.0402528851,99.3788849537
1,672,18.0402528851,99.3788849537
1,673,18.0476645216,99.3841014113
1,674,18.0553730887,99.3888928188
1,675,18.0643419511,99.3903736126
1,676,18.0732555683,99.3923042248
1,677,18.0821267125,99.3944520439
1,678,18.0909995465,99.3965950962
1,679,18.0998845511,99.3986752013
1,680,18.1087555664,99.3968167932
1,681,18.1175284525,99.3942932021
1,682,18.1262992439,99.3917628776
1,683,18.1352845941,99.3906179577
1,684,18.1440049749,99.3922525255
1,685,18.1473794231,99.4005854657
1,686,18.1560065018,99.402946524
1,687,18.1648677819,99.4051116328
1,688,18.1736753016,99.4075101398
1,689,18.1825552571,99.4087131408
1,690,18.1914296279,99.4066081197
1,691,18.2003084205,99.4081745016
1,692,18.2073146978,99.4140455364
1,693,18.2134487518,99.4209667912
1,694,18.2214838586,99.4254576508
1,695,18.2297699005,99.4295642718
1,696,18.2360007514,99.4361115163
1,697,18.2415343162,99.4435146017
1,698,18.2477146977,99.4503730468
1,699,18.2543509436,99.456766907
1,700,18.2603943092,99.4637611016
1,701,18.2666621633,99.4705558387
1,702,18.2720726329,99.4780563262
1,703,18.2774747501,99.4855627725
1,703,18.2774747501,99.4855627725
1,704,18.2812388375,99.4937657485
1,705,18.2818048235,99.5029968355
1,706,18.2841233564,99.5116767858
1,706,18.2841233564,99.5116767858
1,707,18.2919182189,99.5166365825
1,708,18.2994442925,99.5220007418
1,709,18.3070123972,99.5273018092
1,710,18.3161589107,99.528339532
1,711,18.3243797716,99.5324878779
